longditude;laditude;lag
158.75;-78.75;0
161.25;-78.75;0
163.75;-78.75;0
166.25;-78.75;0
168.75;-78.75;0
171.25;-78.75;0
173.75;-78.75;0
176.25;-78.75;0
178.75;-78.75;0
181.25;-78.75;0
183.75;-78.75;0
186.25;-78.75;0
188.75;-78.75;0
191.25;-78.75;0
193.75;-78.75;10
196.25;-78.75;0
198.75;-78.75;0
201.25;-78.75;0
203.75;-78.75;0
206.25;-78.75;10
208.75;-78.75;11
211.25;-78.75;11
213.75;-78.75;11
216.25;-78.75;11
218.75;-78.75;11
221.25;-78.75;0
223.75;-78.75;0
226.25;-78.75;0
228.75;-78.75;10
231.25;-78.75;10
233.75;-78.75;10
236.25;-78.75;10
238.75;-78.75;10
241.25;-78.75;0
243.75;-78.75;0
246.25;-78.75;0
248.75;-78.75;0
251.25;-78.75;0
253.75;-78.75;0
256.25;-78.75;0
258.75;-78.75;0
261.25;-78.75;0
263.75;-78.75;0
266.25;-78.75;1
268.75;-78.75;1
271.25;-78.75;1
273.75;-78.75;1
276.25;-78.75;1
278.75;-78.75;1
281.25;-78.75;1
283.75;-78.75;1
286.25;-78.75;1
288.75;-78.75;0
291.25;-78.75;1
293.75;-78.75;0
296.25;-78.75;0
298.75;-78.75;0
301.25;-78.75;4
303.75;-78.75;0
306.25;-78.75;4
308.75;-78.75;0
311.25;-78.75;0
313.75;-78.75;0
316.25;-78.75;0
318.75;-78.75;0
321.25;-78.75;0
323.75;-78.75;0
326.25;-78.75;0
328.75;-78.75;0
331.25;-78.75;0
333.75;-78.75;0
336.25;-78.75;0
338.75;-78.75;0
341.25;-78.75;0
343.75;-78.75;0
346.25;-78.75;0
348.75;-78.75;0
351.25;-78.75;0
353.75;-78.75;0
356.25;-78.75;0
358.75;-78.75;0
1.25;-76.25;0
3.75;-76.25;0
6.25;-76.25;0
8.75;-76.25;0
11.25;-76.25;0
13.75;-76.25;0
16.25;-76.25;0
18.75;-76.25;0
21.25;-76.25;0
23.75;-76.25;0
26.25;-76.25;0
28.75;-76.25;0
31.25;-76.25;0
33.75;-76.25;0
36.25;-76.25;0
38.75;-76.25;0
41.25;-76.25;0
43.75;-76.25;0
46.25;-76.25;0
48.75;-76.25;0
51.25;-76.25;0
53.75;-76.25;0
56.25;-76.25;0
58.75;-76.25;0
61.25;-76.25;0
63.75;-76.25;0
66.25;-76.25;0
68.75;-76.25;0
71.25;-76.25;0
73.75;-76.25;0
76.25;-76.25;0
78.75;-76.25;0
81.25;-76.25;0
83.75;-76.25;0
86.25;-76.25;0
88.75;-76.25;0
91.25;-76.25;0
93.75;-76.25;0
96.25;-76.25;0
98.75;-76.25;0
101.25;-76.25;0
103.75;-76.25;0
106.25;-76.25;0
108.75;-76.25;0
111.25;-76.25;0
113.75;-76.25;0
116.25;-76.25;0
118.75;-76.25;0
121.25;-76.25;0
123.75;-76.25;0
126.25;-76.25;0
128.75;-76.25;0
131.25;-76.25;0
133.75;-76.25;0
136.25;-76.25;0
138.75;-76.25;0
141.25;-76.25;0
143.75;-76.25;0
146.25;-76.25;0
148.75;-76.25;0
151.25;-76.25;0
153.75;-76.25;0
156.25;-76.25;0
158.75;-76.25;0
161.25;-76.25;0
163.75;-76.25;0
166.25;-76.25;0
168.75;-76.25;0
171.25;-76.25;2
173.75;-76.25;0
176.25;-76.25;12
178.75;-76.25;12
181.25;-76.25;12
183.75;-76.25;0
186.25;-76.25;0
188.75;-76.25;0
191.25;-76.25;0
193.75;-76.25;9
196.25;-76.25;0
198.75;-76.25;0
201.25;-76.25;0
203.75;-76.25;0
206.25;-76.25;0
208.75;-76.25;0
211.25;-76.25;12
213.75;-76.25;12
216.25;-76.25;12
218.75;-76.25;0
221.25;-76.25;0
223.75;-76.25;0
226.25;-76.25;0
228.75;-76.25;0
231.25;-76.25;0
233.75;-76.25;0
236.25;-76.25;0
238.75;-76.25;0
241.25;-76.25;0
243.75;-76.25;0
246.25;-76.25;0
248.75;-76.25;0
251.25;-76.25;0
253.75;-76.25;0
256.25;-76.25;0
258.75;-76.25;0
261.25;-76.25;0
263.75;-76.25;0
266.25;-76.25;0
268.75;-76.25;0
271.25;-76.25;0
273.75;-76.25;1
276.25;-76.25;12
278.75;-76.25;12
