longditude;laditude;correlation;p_value_adj
248.75;-88.75;-0.23380768217360265;0.09319038006112541
251.25;-88.75;-0.18698307846617654;0.23199422728452582
253.75;-88.75;-0.17722221064867524;0.26793112379698664
256.25;-88.75;-0.1666647384308114;0.30737591327694946
258.75;-88.75;-0.13108996033235287;0.45783111259334847
261.25;-88.75;-0.11727905761138883;0.5204456664330921
263.75;-88.75;-0.1876954922911081;0.22987803299702048
266.25;-88.75;-0.1201612782898537;0.5072625504715199
268.75;-88.75;-0.1534358746525751;0.3611746412624053
271.25;-88.75;-0.16724324932908663;0.30464200486028464
273.75;-88.75;-0.09208167691018236;0.6443036786942863
276.25;-88.75;-0.09419186905706554;0.6328643147079978
278.75;-88.75;-0.13541774462896305;0.43744293505013127
281.25;-88.75;-0.06950027871659602;0.7476525340382579
