longditude;laditude;oni_coefficient_minus_zero_lag
33.75;-83.75;-0.02999999999999999889
36.25;-83.75;-0.01000000000000000021
38.75;-83.75;-0.04000000000000000083
41.25;-83.75;0.01000000000000000021
43.75;-83.75;-0.02000000000000000042
46.25;-83.75;-0.02000000000000000042
48.75;-83.75;0.01000000000000000021
51.25;-83.75;-0.02999999999999999889
53.75;-83.75;-0.02000000000000000042
56.25;-83.75;-0.01000000000000000021
58.75;-83.75;-0.04000000000000000083
61.25;-83.75;-0.04000000000000000083
63.75;-83.75;-0.04000000000000000083
66.25;-83.75;-0.04000000000000000083
68.75;-83.75;-0.04000000000000000083
71.25;-83.75;-0.05000000000000000278
73.75;-83.75;-0.04000000000000000083
76.25;-83.75;-0.05999999999999999778
78.75;-83.75;-0.05999999999999999778
81.25;-83.75;-0.05999999999999999778
83.75;-83.75;-0.07000000000000000666
86.25;-83.75;-0.07000000000000000666
88.75;-83.75;-0.04000000000000000083
91.25;-83.75;-0.04000000000000000083
93.75;-83.75;-0.05000000000000000278
96.25;-83.75;-0.05999999999999999778
98.75;-83.75;-0.07000000000000000666
101.25;-83.75;-0.07000000000000000666
103.75;-83.75;-0.07000000000000000666
106.25;-83.75;-0.1000000000000000056
108.75;-83.75;-0.07000000000000000666
111.25;-83.75;-0.08000000000000000167
113.75;-83.75;-0.05999999999999999778
116.25;-83.75;-0.07000000000000000666
118.75;-83.75;-0.05000000000000000278
121.25;-83.75;-0.04000000000000000083
123.75;-83.75;-0.04000000000000000083
126.25;-83.75;-0.04000000000000000083
128.75;-83.75;-0.02999999999999999889
131.25;-83.75;-0.02999999999999999889
133.75;-83.75;-0.05000000000000000278
136.25;-83.75;-0.05000000000000000278
138.75;-83.75;-0.04000000000000000083
141.25;-83.75;-0.04000000000000000083
143.75;-83.75;-0.04000000000000000083
146.25;-83.75;-0.02999999999999999889
148.75;-83.75;-0.02999999999999999889
151.25;-83.75;-0.04000000000000000083
153.75;-83.75;-0.04000000000000000083
156.25;-83.75;-0.05000000000000000278
158.75;-83.75;-0.05999999999999999778
161.25;-83.75;-0.05000000000000000278
163.75;-83.75;-0.05999999999999999778
166.25;-83.75;-0.07000000000000000666
168.75;-83.75;-0.05999999999999999778
171.25;-83.75;-0.07000000000000000666
173.75;-83.75;-0.05999999999999999778
176.25;-83.75;-0.05999999999999999778
178.75;-83.75;-0.05999999999999999778
181.25;-83.75;-0.04000000000000000083
183.75;-83.75;-0.05000000000000000278
186.25;-83.75;-0.07000000000000000666
188.75;-83.75;-0.05999999999999999778
191.25;-83.75;-0.04000000000000000083
193.75;-83.75;-0.05999999999999999778
196.25;-83.75;-0.07000000000000000666
198.75;-83.75;-0.05999999999999999778
201.25;-83.75;-0.05999999999999999778
203.75;-83.75;-0.05999999999999999778
206.25;-83.75;-0.05000000000000000278
208.75;-83.75;-0.05000000000000000278
211.25;-83.75;-0.08000000000000000167
213.75;-83.75;-0.08000000000000000167
216.25;-83.75;-0.05999999999999999778
218.75;-83.75;-0.07000000000000000666
221.25;-83.75;-0.05000000000000000278
223.75;-83.75;-0.04000000000000000083
226.25;-83.75;-0.04000000000000000083
228.75;-83.75;-0.02999999999999999889
231.25;-83.75;-0.04000000000000000083
233.75;-83.75;-0.04000000000000000083
236.25;-83.75;-0.05000000000000000278
238.75;-83.75;-0.05000000000000000278
241.25;-83.75;-0.05000000000000000278
243.75;-83.75;-0.05000000000000000278
246.25;-83.75;-0.04000000000000000083
248.75;-83.75;-0.05999999999999999778
251.25;-83.75;-0.05000000000000000278
253.75;-83.75;-0.05999999999999999778
256.25;-83.75;-0.08000000000000000167
258.75;-83.75;-0.08999999999999999667
261.25;-83.75;-0.1000000000000000056
263.75;-83.75;-0.08999999999999999667
266.25;-83.75;-0.1100000000000000006
268.75;-83.75;-0.08999999999999999667
271.25;-83.75;-0.1199999999999999956
273.75;-83.75;-0.1199999999999999956
276.25;-83.75;-0.08999999999999999667
278.75;-83.75;-0.08000000000000000167
281.25;-83.75;-0.07000000000000000666
283.75;-83.75;-0.08000000000000000167
286.25;-83.75;-0.08999999999999999667
288.75;-83.75;-0.08000000000000000167
291.25;-83.75;-0.08000000000000000167
293.75;-83.75;-0.07000000000000000666
296.25;-83.75;-0.08000000000000000167
298.75;-83.75;-0.08000000000000000167
301.25;-83.75;-0.07000000000000000666
303.75;-83.75;-0.05999999999999999778
306.25;-83.75;-0.04000000000000000083
308.75;-83.75;-0.05000000000000000278
311.25;-83.75;-0.05000000000000000278
313.75;-83.75;-0.05999999999999999778
316.25;-83.75;-0.07000000000000000666
318.75;-83.75;-0.01000000000000000021
321.25;-83.75;-0.08000000000000000167
323.75;-83.75;-0.01000000000000000021
326.25;-83.75;0.000000000000000000
328.75;-83.75;-0.01000000000000000021
331.25;-83.75;-0.01000000000000000021
333.75;-83.75;-0.08000000000000000167
336.25;-83.75;-0.01000000000000000021
338.75;-83.75;0.000000000000000000
341.25;-83.75;-0.07000000000000000666
343.75;-83.75;-0.01000000000000000021
346.25;-83.75;-0.01000000000000000021
348.75;-83.75;-0.05999999999999999778
351.25;-83.75;-0.02000000000000000042
353.75;-83.75;-0.08000000000000000167
356.25;-83.75;-0.08000000000000000167
358.75;-83.75;-0.05000000000000000278
1.25;-81.25;-0.05999999999999999778
3.75;-81.25;-0.07000000000000000666
6.25;-81.25;-0.05999999999999999778
8.75;-81.25;-0.04000000000000000083
11.25;-81.25;-0.05000000000000000278
13.75;-81.25;-0.05999999999999999778
16.25;-81.25;-0.04000000000000000083
18.75;-81.25;-0.02000000000000000042
21.25;-81.25;-0.02000000000000000042
23.75;-81.25;-0.04000000000000000083
26.25;-81.25;0.01000000000000000021
28.75;-81.25;-0.02000000000000000042
31.25;-81.25;0.02000000000000000042
33.75;-81.25;0.02999999999999999889
36.25;-81.25;0.04000000000000000083
38.75;-81.25;0.01000000000000000021
41.25;-81.25;0.05000000000000000278
43.75;-81.25;0.05999999999999999778
46.25;-81.25;0.04000000000000000083
48.75;-81.25;0.02000000000000000042
51.25;-81.25;0.01000000000000000021
53.75;-81.25;-0.01000000000000000021
56.25;-81.25;0.01000000000000000021
58.75;-81.25;-0.01000000000000000021
61.25;-81.25;-0.01000000000000000021
63.75;-81.25;0.01000000000000000021
66.25;-81.25;0.000000000000000000
68.75;-81.25;0.01000000000000000021
71.25;-81.25;0.01000000000000000021
73.75;-81.25;0.02000000000000000042
76.25;-81.25;0.02000000000000000042
78.75;-81.25;0.05000000000000000278
81.25;-81.25;0.000000000000000000
83.75;-81.25;0.01000000000000000021
86.25;-81.25;-0.01000000000000000021
88.75;-81.25;0.02000000000000000042
91.25;-81.25;0.05000000000000000278
93.75;-81.25;0.04000000000000000083
96.25;-81.25;0.02000000000000000042
98.75;-81.25;-0.01000000000000000021
101.25;-81.25;0.000000000000000000
103.75;-81.25;0.01000000000000000021
106.25;-81.25;0.000000000000000000
108.75;-81.25;-0.02000000000000000042
111.25;-81.25;-0.02999999999999999889
113.75;-81.25;-0.02999999999999999889
116.25;-81.25;-0.04000000000000000083
118.75;-81.25;-0.02000000000000000042
121.25;-81.25;-0.02000000000000000042
123.75;-81.25;-0.02000000000000000042
126.25;-81.25;-0.02000000000000000042
128.75;-81.25;-0.02000000000000000042
131.25;-81.25;-0.04000000000000000083
133.75;-81.25;-0.04000000000000000083
136.25;-81.25;-0.02999999999999999889
138.75;-81.25;-0.02000000000000000042
141.25;-81.25;-0.02000000000000000042
143.75;-81.25;0.000000000000000000
146.25;-81.25;0.000000000000000000
148.75;-81.25;-0.02999999999999999889
151.25;-81.25;-0.02999999999999999889
153.75;-81.25;-0.05999999999999999778
156.25;-81.25;-0.05999999999999999778
158.75;-81.25;-0.05999999999999999778
